sale_rcn_id,name,amount,amount_sqm,floor_number,rooms_number,type,currency,size,creation_date,invest_name,invest_city
2274880,146505_8.0809.1022_BUD.27_LOK,1069209.96,26676.9,6,2,mieszkalna,PLN,40.08,2025-11-07,Ulica Fabryki „tewa” 7,Warszawa
2274767,146505_8.0809.1022_BUD.17_LOK,1060355.36,25724.29,4,1,mieszkalna,PLN,41.22,2025-11-07,Ulica Fabryki „tewa” 7,Warszawa
244378,146511_8.1105.104_BUD.145_LOK,472788.0,13276.83,2,2,mieszkalna,PLN,35.61,2025-11-07,Ulica Krzewna 7,Warszawa
247587,146503_8.1631.284_BUD.11_LOK,660000.0,15676.96,1,2,mieszkalna,PLN,42.1,2025-11-07,Ulica Ostródzka 118C,Warszawa
238232,146518_8.0104.194_BUD.432_LOK,778665.39,26943.44,4,1,mieszkalna,PLN,28.9,2025-11-07,Ulica Krochmalna 61,Warszawa
255225,146508_8.1202.137_BUD.76_LOK,969456.56,19284.99,5,3,mieszkalna,PLN,50.27,2025-11-07,Ulica Namysłowska 6B,Warszawa
238489,146508_8.1508.44_BUD.28_LOK,900000.0,25395.03,4,1,mieszkalna,PLN,35.44,2025-06-23,Ulica Józefa Sierakowskiego 1,Warszawa
255310,146518_8.0104.194_BUD.431_LOK,1326837.72,25287.55,4,1,mieszkalna,PLN,52.47,2025-11-07,Ulica Krochmalna 61,Warszawa
252958,146504_8.0506.18_BUD.1_LOK,2700000.0,26455.03,1,4,mieszkalna,PLN,102.06,2025-11-07,Ulica Kleczewska 51,Warszawa
242861,146518_8.0319.25_BUD.37_LOK,535000.0,22171.57,3,1,mieszkalna,PLN,24.13,2025-11-07,Ulica Stanisława Staszica 7/9,Warszawa
252973,146507_8.0109.109_BUD.3_LOK,1185000.0,41088.77,1,2,mieszkalna,PLN,28.84,2025-11-07,Ulica Francuska 24,Warszawa
216959,146503_8.0630.159_BUD.32_LOK,635000.0,15235.12,1,2,mieszkalna,PLN,41.68,2024-11-25,Ulica Myśliborska 72C,Warszawa
245603,146508_8.1305.213_BUD.65_LOK,1345000.0,19518.21,6,3,mieszkalna,PLN,68.91,2025-11-07,Ulica Wileńska 14A,Warszawa
249703,146519_8.0115.3_BUD.40_LOK,515000.0,17517.01,3,2,mieszkalna,PLN,29.4,2025-11-07,Ulica Śmiała 5/7,Warszawa
247606,146510_8.0609.3_BUD.25_LOK,1100000.0,17009.43,3,3,mieszkalna,PLN,64.67,2025-11-07,Ulica Fabryczna 21,Warszawa
252971,146507_8.0409.23_BUD.2_LOK,525000.0,15060.24,1,2,mieszkalna,PLN,34.86,2025-11-07,Ulica Józefa Chłopickiego 7/9,Warszawa
256911,146504_8.0511.243_BUD.90_LOK,620000.0,11091.23,5,4,mieszkalna,PLN,55.9,2025-11-07,Ulica Starej Baśni 10,Warszawa
253427,146516_8.0638.13_BUD.4_LOK,1218390.0,17000.0,3,2,mieszkalna,PLN,71.67,2025-11-07,Ulica Ruczaj 117L,Warszawa
247701,146516_8.1026.88_BUD.129_LOK,1300000.0,17015.71,3,4,mieszkalna,PLN,76.4,2025-11-07,Ulica Kazachska 3,Warszawa
240941,146503_8.0119.7_BUD.102_LOK,499000.0,12794.87,2,3,mieszkalna,PLN,39.0,2025-11-07,Ulica Książkowa 9A,Warszawa
253419,146510_8.0306.93_BUD.331_LOK,8350000.0,51587.79,38,4,mieszkalna,PLN,161.86,2025-11-07,Ulica Twarda 4,Warszawa
247359,146506_8.0321.33_BUD.27_LOK,570000.0,15702.48,3,3,mieszkalna,PLN,36.3,2025-11-07,Ulica Racławicka 142,Warszawa
242871,146518_8.0205.16_BUD.65_LOK,650000.0,13669.82,3,3,mieszkalna,PLN,47.55,2025-11-07,Ulica Dzielna 7b,Warszawa
