,amount,floor_number,rooms_number,size,month,year,Wartość
114,610000.0,1,3,44.38,10,2025,2.799999999999997
115,640000.0,3,3,36.38,10,2025,2.799999999999997
116,1115000.0,3,4,79.0,10,2025,2.799999999999997
117,690000.0,9,2,34.11,10,2025,2.799999999999997
118,580000.0,9,3,47.4,10,2025,2.799999999999997
119,1050000.0,1,4,72.23,10,2025,2.799999999999997
120,620000.0,6,3,38.19,10,2025,2.799999999999997
121,860000.0,7,2,53.67,10,2025,2.799999999999997
122,449000.0,4,3,52.5,10,2025,2.799999999999997
123,940000.0,4,4,68.9,10,2025,2.799999999999997
124,390000.0,11,2,27.1,10,2025,2.799999999999997
125,703000.0,3,3,48.5,10,2025,2.799999999999997
126,630000.0,4,3,45.3,10,2025,2.799999999999997
127,1237220.0,1,3,62.0,10,2025,2.799999999999997
128,951415.1,2,3,50.45,10,2025,2.799999999999997
129,923023.0,4,3,46.22,10,2025,2.799999999999997
130,493462.0,6,2,37.33,10,2025,2.799999999999997
131,410772.0,5,2,35.03,10,2025,2.799999999999997
132,406270.0,5,1,29.68,10,2025,2.799999999999997
133,350604.0,7,1,26.15,10,2025,2.799999999999997
134,405000.0,3,2,34.86,10,2025,2.799999999999997
135,650999.85,3,1,31.0,10,2025,2.799999999999997
136,642443.53,5,2,42.98,10,2025,2.799999999999997
137,1210478.75,4,3,67.25,10,2025,2.799999999999997
138,842336.54,4,3,58.57,10,2025,2.799999999999997
139,589926.0,2,2,36.63,10,2025,2.799999999999997
140,1006316.24,1,3,73.67,10,2025,2.799999999999997
141,1216644.0,1,4,76.64,10,2025,2.799999999999997
142,520000.0,4,2,37.48,10,2025,2.799999999999997
143,870000.0,2,2,40.81,11,2024,4.700000000000003
144,559678.39,4,3,75.84,10,2025,2.799999999999997
145,470000.0,6,3,38.0,10,2025,2.799999999999997
146,700000.0,2,3,41.2,10,2025,2.799999999999997
147,815000.0,1,2,53.33,10,2025,2.799999999999997
148,635000.0,2,3,46.37,10,2025,2.799999999999997
149,450000.0,1,2,32.8,10,2025,2.799999999999997
150,633932.46,1,1,34.94,10,2025,2.799999999999997
151,992200.0,4,3,64.1,10,2025,2.799999999999997
152,827969.92,5,2,74.71,10,2025,2.799999999999997
153,627223.36,1,2,42.27,10,2025,2.799999999999997
154,626622.5,6,2,42.16,10,2025,2.799999999999997
155,1003734.54,2,3,62.07,10,2025,2.799999999999997
156,942104.93,5,3,62.32,10,2025,2.799999999999997
157,1015304.5,2,4,64.04,10,2025,2.799999999999997
158,782656.98,7,3,66.07,10,2025,2.799999999999997
159,1200000.0,1,3,75.0,10,2025,2.799999999999997
160,586056.16,4,2,33.46,10,2025,2.799999999999997
161,755683.75,6,5,64.19,10,2025,2.799999999999997
162,839026.0,5,3,51.18,10,2025,2.799999999999997
163,589054.18,5,2,38.82,10,2025,2.799999999999997
164,609611.61,2,2,46.48,10,2025,2.799999999999997
165,639008.43,4,2,45.89,10,2025,2.799999999999997
166,643506.5,3,3,45.91,10,2025,2.799999999999997
167,679403.0,4,3,53.11,10,2025,2.799999999999997
168,981000.0,4,3,53.7,10,2025,2.799999999999997
