sale_rcn_id,name,amount,amount_sqm,floor_number,rooms_number,type,currency,size,creation_date,invest_name,invest_city
88310,146510_8.0603.11/1.2_BUD.228_LOK,99491248.39,1735110.71,7,2,mieszkalna,PLN,57.34,2019-01-31,Ulica Solec 24,Warszawa
88320,146510_8.0603.11/1.2_BUD.229_LOK,99491248.39,1730884.63,7,2,mieszkalna,PLN,57.48,2019-01-31,Ulica Solec 24,Warszawa
127978,146510_8.0603.11/1.2_BUD.23_LOK,109505051.72,1928245.32,3,2,mieszkalna,PLN,56.79,2019-01-31,Ulica Solec 24,Warszawa
93579,146510_8.0603.11/1.2_BUD.230_LOK,99491248.39,1059996.25,7,4,mieszkalna,PLN,93.86,2019-01-31,Ulica Solec 24,Warszawa
88308,146510_8.0603.11/1.2_BUD.234_LOK,99491248.39,938862.4,8,5,mieszkalna,PLN,105.97,2019-01-31,Ulica Solec 24,Warszawa
88319,146510_8.0603.11/1.2_BUD.235_LOK,99491248.39,1737838.4,8,2,mieszkalna,PLN,57.25,2019-01-31,Ulica Solec 24,Warszawa
93580,146510_8.0603.11/1.2_BUD.236_LOK,99491248.39,1736928.22,8,2,mieszkalna,PLN,57.28,2019-01-31,Ulica Solec 24,Warszawa
88311,146510_8.0603.11/1.2_BUD.237_LOK,99491248.39,1730583.55,8,2,mieszkalna,PLN,57.49,2019-01-31,Ulica Solec 24,Warszawa
88323,146510_8.0603.11/1.2_BUD.238_LOK,99491248.39,1058304.95,8,4,mieszkalna,PLN,94.01,2019-01-31,Ulica Solec 24,Warszawa
93581,146510_8.0603.11/1.2_BUD.239_LOK,99491248.39,918833.1,9,5,mieszkalna,PLN,108.28,2019-01-31,Ulica Solec 24,Warszawa
86490,146510_8.0603.11/1.2_BUD.24_LOK,109505051.72,1917440.93,4,2,mieszkalna,PLN,57.11,2017-11-30,Ulica Solec 24,Warszawa
88307,146510_8.0603.11/1.2_BUD.240_LOK,99491248.39,860353.24,9,5,mieszkalna,PLN,115.64,2019-01-31,Ulica Solec 24,Warszawa
88324,146510_8.0603.11/1.2_BUD.242_LOK,99491248.39,1722493.91,9,2,mieszkalna,PLN,57.76,2019-01-31,Ulica Solec 24,Warszawa
93578,146510_8.0603.11/1.2_BUD.243_LOK,99491248.39,1743319.58,9,2,mieszkalna,PLN,57.07,2019-01-31,Ulica Solec 24,Warszawa
92792,146503_8.0113.40.1_BUD.42_LOK,646700,15252.36,8,4,mieszkalna,PLN,42.4,2019-04-01,Ulica Światowida 63,Warszawa
193076,146505_8.0711.1022_BUD.2_LOK,878000,18437.63,1,2,mieszkalna,PLN,47.62,2024-01-19,Ulica Batalionu Ak „karpaty” 5A,Warszawa
188755,146507_8.0515.45/2.1_BUD.43_LOK,807000,16608.36,5,2,mieszkalna,PLN,48.59,2024-01-19,Ulica Zamieniecka 54,Warszawa
139692,146502_8.1102.105/4.1_BUD.112_LOK,2350000,16531.83,8,3,mieszkalna,PLN,142.15,2018-02-14,Ulica Gen. Tadeusza Pełczyńskiego 22J,Warszawa
145717,146503_8.0103.1/17.2_BUD.308_LOK,509000,11438.2,3,2,mieszkalna,PLN,44.5,2017-06-06,Ulica Aluzyjna 25F,Warszawa
91978,146505_8.0812.1110_BUD.26_LOK,1100000,18729.78,2,3,mieszkalna,PLN,58.73,2019-02-26,Ulica Komputerowa 9,Warszawa
217479,146504_8.0813.97.3_BUD.32_LOK,670000,14075.63,5,3,mieszkalna,PLN,47.6,2024-01-19,Ulica Księżycowa 58,Warszawa
187676,146505_8.0312.5_BUD.14_LOK,1100000,14719.66,1,3,mieszkalna,PLN,74.73,2024-01-19,Ulica Bobrowiecka 3A,Warszawa
218717,146505_8.0806.1046_BUD.38_LOK,940000,20154.37,4,2,mieszkalna,PLN,46.64,2024-01-19,Ulica Konstruktorska 7,Warszawa
99109,146502_8.1103.166.4_BUD.112_LOK,1310000,15783.13,2,3,mieszkalna,PLN,83,2018-09-14,Ulica Powstańców Śląskich 89B,Warszawa
225920,146512_8.1115.22.2_BUD.46_LOK,645000,15579.71,1,2,mieszkalna,PLN,41.4,2024-01-19,Ulica Ryżowa 48,Warszawa
192653,146503_8.0319.124.1_BUD.21_LOK,438000,13313.07,2,1,mieszkalna,PLN,32.9,2024-01-19,Ulica Józefa Mehoffera 68C,Warszawa
215487,146508_8.1504.113.1_BUD.34_LOK,1650000,17063.08,5,3,mieszkalna,PLN,96.7,2024-01-19,Ulica Floriańska 6,Warszawa
184525,146508_8.1307.50/1.1_BUD.51_LOK,570000,15702.48,4,2,mieszkalna,PLN,36.3,2024-01-19,Ulica Wileńska 12,Warszawa
183286,146504_8.0702.123.1_BUD.37_LOK,600000,12345.68,7,4,mieszkalna,PLN,48.6,2024-01-19,Ulica Przy Agorze 14A,Warszawa
